"REF_DATE","GEO","DGUID","Fuel type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","425031","","","","0"
"2017-04","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","610662","","","","0"
"2017-07","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","551572","","","","0"
"2017-10","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","450479","","","","0"
"2018-01","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","406109","","","","0"
"2018-04","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","607469","","","","0"
"2018-07","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","539801","","","","0"
"2018-10","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","422213","","","","0"
"2019-01","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","402092","","","","0"
"2019-04","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","575734","","","","0"
"2019-07","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","532445","","","","0"
"2019-10","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","421710","","","","0"
"2020-01","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","336331","","","","0"
"2020-04","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","305873","","","","0"
"2020-07","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","508639","","","","0"
"2020-10","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","394782","","","","0"
"2021-01","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","375902","","","","0"
"2021-04","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","486714","","","","0"
"2021-07","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","446630","","","","0"
"2021-10","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","337566","","","","0"
"2022-01","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","340150","","","","0"
"2022-04","Canada","2021A000011124","All fuel types","Total, vehicle type","Number of vehicles","Units","300","units","0","v1671330686","1.4.1.1","431985","","","","0"
